trial 0
		0
 0.02003		-0.19383		-0.04595		 0.24487		1
 0.01615		 0.00192		-0.04105		-0.06195		0
 0.01619		-0.19259		-0.04229		 0.21750		1
 0.01234		 0.00311		-0.03794		-0.08822		0
 0.01240		-0.19145		-0.03971		 0.19226		1
 0.00857		 0.00422		-0.03586		-0.11268		0
 0.00866		-0.19037		-0.03812		 0.16848		1
 0.00485		 0.00528		-0.03475		-0.13598		0
 0.00495		-0.18933		-0.03747		 0.14554		1
 0.00117		 0.00631		-0.03456		-0.15873		0
 0.00129		-0.18830		-0.03773		 0.12286		1
-0.00247		 0.00734		-0.03527		-0.18149		0
-0.00233		-0.18726		-0.03890		 0.09987		1
-0.00607		 0.00839		-0.03691		-0.20483		0
-0.00590		-0.18618		-0.04100		 0.07598		1
-0.00963		 0.00950		-0.03948		-0.22935		0
-0.00944		-0.18503		-0.04407		 0.05062		1
-0.01314		 0.01069		-0.04306		-0.25563		0
-0.01292		-0.18379		-0.04817		 0.02317		0
-0.01660		-0.37819		-0.04771		 0.30027		1
-0.02416		-0.18242		-0.04170		-0.00707		0
-0.02781		-0.37692		-0.04184		 0.27217		1
-0.03535		-0.18123		-0.03640		-0.03341		0
-0.03897		-0.37581		-0.03707		 0.24757		1
-0.04649		-0.18018		-0.03212		-0.05657		0
-0.05009		-0.37482		-0.03325		 0.22581		1
-0.05759		-0.17924		-0.02873		-0.07717		0
-0.06117		-0.37394		-0.03027		 0.20631		1
-0.06865		-0.17840		-0.02615		-0.09577		0
-0.07222		-0.37314		-0.02806		 0.18855		1
-0.07968		-0.17763		-0.02429		-0.11285		0
-0.08324		-0.37239		-0.02655		 0.17207		1
-0.09068		-0.17690		-0.02311		-0.12887		0
-0.09422		-0.37168		-0.02568		 0.15644		1
-0.10166		-0.17620		-0.02256		-0.14424		0
-0.10518		-0.37099		-0.02544		 0.14125		1
-0.11260		-0.17552		-0.02262		-0.15935		0
-0.11611		-0.37031		-0.02580		 0.12611		1
-0.12352		-0.17483		-0.02328		-0.17460		0
-0.12701		-0.36961		-0.02677		 0.11065		1
-0.13441		-0.17411		-0.02456		-0.19036		0
-0.13789		-0.36887		-0.02837		 0.09447		1
-0.14527		-0.17336		-0.02648		-0.20702		0
-0.14873		-0.36809		-0.03062		 0.07719		1
-0.15609		-0.17254		-0.02907		-0.22499		0
-0.15955		-0.36724		-0.03357		 0.05838		1
-0.16689		-0.17165		-0.03241		-0.24470		0
-0.17032		-0.36630		-0.03730		 0.03759		1
-0.17765		-0.17066		-0.03655		-0.26663		0
-0.18106		-0.36524		-0.04188		 0.01431		0
-0.18837		-0.55974		-0.04160		 0.29349		1
-0.19956		-0.36405		-0.03573		-0.01202		0
-0.20684		-0.55864		-0.03597		 0.26918		1
-0.21802		-0.36302		-0.03058		-0.03463		0
-0.22528		-0.55770		-0.03127		 0.24825		1
-0.23643		-0.36214		-0.02631		-0.05413		0
-0.24367		-0.55688		-0.02739		 0.23014		1
-0.25481		-0.36137		-0.02279		-0.07106		0
-0.26204		-0.55616		-0.02421		 0.21435		1
-0.27316		-0.36070		-0.01992		-0.08587		0
-0.28037		-0.55553		-0.02164		 0.20046		1
-0.29149		-0.36011		-0.01763		-0.09897		0
-0.29869		-0.55497		-0.01961		 0.18810		1
-0.30979		-0.35958		-0.01585		-0.11071		0
-0.31698		-0.55447		-0.01806		 0.17693		1
-0.32807		-0.35909		-0.01452		-0.12139		0
-0.33525		-0.55400		-0.01695		 0.16667		1
-0.34633		-0.35864		-0.01362		-0.13131		0
-0.35350		-0.55357		-0.01625		 0.15705		1
-0.36457		-0.35822		-0.01310		-0.14072		0
-0.37174		-0.55315		-0.01592		 0.14780		1
-0.38280		-0.35780		-0.01296		-0.14986		0
-0.38996		-0.55273		-0.01596		 0.13871		1
-0.40101		-0.35739		-0.01319		-0.15897		0
-0.40816		-0.55232		-0.01637		 0.12953		1
-0.41921		-0.35697		-0.01377		-0.16828		0
-0.42635		-0.55189		-0.01714		 0.12003		1
-0.43738		-0.35652		-0.01474		-0.17801		0
-0.44451		-0.55143		-0.01830		 0.10999		1
-0.45554		-0.35605		-0.01610		-0.18841		0
-0.46266		-0.55094		-0.01987		 0.09915		1
-0.47368		-0.35554		-0.01789		-0.19974		0
-0.48079		-0.55040		-0.02188		 0.08725		1
